step,train_loss,train_acc,dev_loss,dev_acc
0,2.303334951400757,0.14075,2.323976755142212,0.12957142857142856
100,0.7390825152397156,0.78875,0.5816143751144409,0.782
200,0.5615187883377075,0.8155,0.5113975405693054,0.8211428571428572
300,0.3775447905063629,0.8345,0.4486430585384369,0.8325714285714285
400,0.27273616194725037,0.875,0.3868248760700226,0.8597142857142858
500,0.32390090823173523,0.85825,0.40662625432014465,0.8487142857142858
600,0.3507717549800873,0.86025,0.3938159644603729,0.8575714285714285
700,0.2716611623764038,0.86275,0.38474157452583313,0.8568571428571429
800,0.28472068905830383,0.878,0.35132360458374023,0.8711428571428571
900,0.30136433243751526,0.88,0.34339964389801025,0.8751428571428571
1000,0.32917293906211853,0.8985,0.32785406708717346,0.8852857142857142
1100,0.27600613236427307,0.88525,0.3250894844532013,0.8874285714285715
1200,0.30192241072654724,0.878,0.35396572947502136,0.8768571428571429
1300,0.3786565661430359,0.8805,0.33710959553718567,0.8785714285714286
1400,0.20853553712368011,0.88675,0.32063329219818115,0.8801428571428571
1500,0.48719704151153564,0.89475,0.31570902466773987,0.8868571428571429
1600,0.21478116512298584,0.88325,0.3253341019153595,0.8784285714285714
1700,0.36906424164772034,0.90225,0.3180176615715027,0.8847142857142857
1800,0.32671454548835754,0.87625,0.3376510441303253,0.8764285714285714
1900,0.38851699233055115,0.87475,0.33962514996528625,0.877
2000,0.3626512587070465,0.892,0.3303171992301941,0.8832857142857143
2100,0.40232357382774353,0.89675,0.31256985664367676,0.8878571428571429
2200,0.18797656893730164,0.88525,0.32526931166648865,0.8845714285714286
2300,0.33866390585899353,0.885,0.3203858733177185,0.8795714285714286
2400,0.4116297960281372,0.901,0.30559220910072327,0.8872857142857142
2500,0.365306556224823,0.8915,0.31118065118789673,0.8868571428571429
2600,0.33206185698509216,0.89425,0.3196186125278473,0.8891428571428571
2700,0.29524296522140503,0.879,0.34457504749298096,0.8718571428571429
2800,0.15060940384864807,0.9055,0.2915458083152771,0.8972857142857142
2900,0.2196027934551239,0.90225,0.2932586967945099,0.8977142857142857
3000,0.26143544912338257,0.9045,0.29752689599990845,0.8937142857142857
3100,0.16727080941200256,0.8945,0.30824023485183716,0.8887142857142857
3200,0.38300687074661255,0.8935,0.30732443928718567,0.8914285714285715
3300,0.3465160131454468,0.90575,0.3001905083656311,0.8931428571428571
3400,0.3548598885536194,0.905,0.31002524495124817,0.8912857142857142
3500,0.22267480194568634,0.90075,0.285567045211792,0.8938571428571429
3600,0.2724401354789734,0.89875,0.3199392855167389,0.883
3700,0.26270729303359985,0.91175,0.3046342432498932,0.893
3800,0.269651859998703,0.90075,0.30078497529029846,0.8914285714285715
3900,0.2705996632575989,0.90275,0.28799253702163696,0.8974285714285715
4000,0.23979061841964722,0.90875,0.30570006370544434,0.8915714285714286
4100,0.23254290223121643,0.91,0.29077672958374023,0.8952857142857142
4200,0.22304359078407288,0.908,0.2999212443828583,0.8944285714285715
4300,0.27767136693000793,0.904,0.28322064876556396,0.8998571428571429
4400,0.3122471868991852,0.89925,0.3021092712879181,0.8937142857142857
4500,0.24211567640304565,0.9035,0.2924356758594513,0.896
4600,0.28787103295326233,0.9145,0.28473708033561707,0.8988571428571429
4700,0.31997835636138916,0.915,0.28893041610717773,0.8928571428571429
4800,0.17441792786121368,0.90425,0.29052969813346863,0.8941428571428571
4900,0.2635250687599182,0.91625,0.2819591760635376,0.902
